City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
419,Viedma,AR,-40.8135,-62.9967,48.36,70,96,23.85,overcast clouds
420,Cockburn Town,TC,21.4612,-71.1419,81.84,77,100,19.26,overcast clouds
421,Moberly,US,39.4184,-92.4382,81.05,77,40,3.0,scattered clouds
422,Beloha,MG,-25.1667,45.05,67.71,71,0,11.41,clear sky
423,Quatre Cocos,MU,-20.2078,57.7625,67.08,76,40,18.21,light rain
424,Nizhniy Tsasuchey,RU,50.5167,115.1333,65.16,90,100,2.86,overcast clouds
425,Kristinehamn,SE,59.3098,14.1081,78.78,50,0,13.31,clear sky
426,Mlonggo,ID,-6.5333,110.7,78.53,76,99,4.9,overcast clouds
427,Rassvet,RU,46.8333,40.75,85.57,39,7,4.47,clear sky
428,Leningradskiy,RU,69.3833,178.4167,46.89,80,59,6.51,broken clouds
429,Athabasca,CA,54.7169,-113.2854,58.69,76,100,11.18,overcast clouds
430,Wajima,JP,37.4,136.9,76.78,80,44,4.29,scattered clouds
431,Jardim,BR,-21.4803,-56.1381,70.47,66,96,6.31,overcast clouds
432,Patu,BR,-6.11,-37.6367,91.11,35,73,7.83,broken clouds
433,Berlevag,NO,70.8578,29.0864,51.71,81,59,11.61,broken clouds
434,Asau,RO,46.4333,26.4,81.52,75,1,3.44,clear sky
435,Marathon,US,44.9,-89.7668,77.99,59,40,5.75,scattered clouds
436,Cosmopolis,BR,-22.6458,-47.1961,75.2,37,65,7.81,broken clouds
437,Broome,US,42.2506,-75.833,83.17,86,100,1.99,overcast clouds
438,Khuzdar,PK,27.7384,66.6434,86.04,51,50,8.05,scattered clouds
439,Namatanai,PG,-3.6667,152.4333,79.07,87,100,5.77,light rain
440,Zyryanovsk,KZ,49.7386,84.2719,56.16,80,46,2.48,scattered clouds
441,Itarema,BR,-2.9248,-39.9167,85.41,61,51,14.52,broken clouds
442,Portales,US,34.1862,-103.3344,88.11,36,56,9.64,broken clouds
443,Kahului,US,20.8947,-156.47,77.97,86,99,5.01,overcast clouds
444,Jizan,SA,17.3333,42.6667,93.88,30,100,7.38,overcast clouds
445,Verkhozim,RU,52.7122,45.418,74.1,61,16,4.83,few clouds
446,Wanaka,NZ,-44.7,169.15,40.5,93,94,2.17,overcast clouds
447,Timra,SE,62.487,17.3257,71.31,64,20,10.36,few clouds
448,Baculin,PH,7.4525,126.5842,78.98,81,94,5.21,overcast clouds
449,Impfondo,CG,1.6381,18.0667,80.2,57,95,2.84,overcast clouds
450,Elizabeth City,US,36.2946,-76.2511,95.02,68,14,7.0,few clouds
451,Chumikan,RU,54.7183,135.315,58.82,82,74,9.66,broken clouds
452,College,US,64.8569,-147.8028,70.2,72,7,7.49,clear sky
453,Meulaboh,ID,4.1363,96.1285,76.42,84,45,3.29,scattered clouds
454,Tuxpan,MX,19.55,-103.4,75.65,68,97,2.93,overcast clouds
455,Altay,CN,47.8667,88.1167,61.2,44,10,4.32,clear sky
456,Salalah,OM,17.0151,54.0924,77.45,93,87,6.62,overcast clouds
457,Narasannapeta,IN,18.4167,84.05,82.22,82,97,6.49,overcast clouds
458,Usogorsk,RU,63.4106,48.6872,60.73,63,53,5.03,broken clouds
459,Almaznyy,RU,48.0448,40.045,82.54,64,32,5.66,scattered clouds
460,Kitimat,CA,54.0524,-128.6534,60.91,90,100,1.99,light rain
461,Salvador,SV,13.8333,-88.9167,84.06,53,8,0.98,clear sky
462,Yelizovo,RU,53.1873,158.3805,53.35,98,100,2.48,overcast clouds
463,Korla,CN,41.7597,86.1469,83.59,24,46,14.83,scattered clouds
464,Bosaso,SO,11.2842,49.1816,91.15,39,28,22.32,scattered clouds
465,La Rioja,ES,42.25,-2.5,83.05,46,0,8.25,clear sky
466,Westport,US,41.1415,-73.3579,95.05,72,60,1.01,broken clouds
467,Nesoddtangen,NO,59.8655,10.6594,80.71,43,38,12.15,scattered clouds
468,Wangqing,CN,43.3218,129.7634,67.62,97,3,2.82,clear sky
469,Quepos,CR,9.4236,-84.1652,91.8,76,33,5.17,light rain
470,Waiuku,NZ,-37.25,174.75,61.25,86,19,13.04,few clouds
471,Tynda,RU,55.1667,124.7167,57.18,92,6,1.23,clear sky
472,Port Blair,IN,11.6667,92.75,80.69,81,97,9.89,overcast clouds
473,Saulkrasti,LV,57.2622,24.4147,73.35,72,8,7.09,clear sky
474,Jumla,NP,29.2747,82.1838,65.14,98,100,2.24,light rain
475,Pochutla,MX,15.7432,-96.4661,91.81,54,93,5.66,overcast clouds
476,Erzin,TR,36.9559,36.2,84.72,72,0,3.27,clear sky
477,Nishihara,JP,26.1842,127.7558,81.68,89,40,5.75,scattered clouds
478,Ipora,BR,-16.4419,-51.1178,91.15,16,0,6.22,clear sky
479,Oranjemund,NA,-28.55,16.4333,59.45,53,0,8.23,clear sky
480,Paamiut,GL,61.994,-49.6678,44.1,96,100,6.71,light rain
481,Char Bhadrasan,BD,23.3167,90.2167,82.45,89,100,6.42,overcast clouds
482,Rio Muerto,MX,27.4167,-110.2333,94.77,43,3,12.24,clear sky
483,Goderich,CA,43.7501,-81.7165,75.2,72,100,3.65,overcast clouds
484,Bluefield,US,37.2698,-81.2223,81.95,64,80,7.0,broken clouds
485,Beringovskiy,RU,63.05,179.3167,49.33,86,74,9.24,broken clouds
486,Sabang,ID,5.8933,95.3214,82.81,74,68,19.26,broken clouds
487,Eyl,SO,7.9803,49.8164,78.8,72,96,25.59,overcast clouds
488,Qasigiannguit,GL,68.8193,-51.1922,53.85,62,63,3.49,broken clouds
489,Sangar,RU,63.9242,127.4739,56.59,66,92,9.95,overcast clouds
490,Tchibanga,GA,-2.85,11.0333,73.78,74,63,6.58,broken clouds
491,Leshukonskoye,RU,64.8989,45.7622,62.56,61,44,1.07,scattered clouds
492,Bulungu,CD,-4.55,18.6,82.54,23,88,0.94,overcast clouds
493,Charters Towers,AU,-20.1,146.2667,56.44,30,35,9.28,scattered clouds
494,Tecoanapa,MX,16.5167,-98.75,85.89,58,59,8.25,broken clouds
495,Laguna,US,38.421,-121.4238,97.65,43,1,1.99,clear sky
496,Yashan,CN,22.1975,109.9419,78.46,89,99,2.98,overcast clouds
497,Belmonte,BR,-15.8631,-38.8828,77.5,55,2,7.31,clear sky
498,Miri,MY,4.4148,114.0089,77.79,84,95,3.29,overcast clouds
499,Norsup,VU,-16.0667,167.3833,78.67,85,16,9.04,few clouds
