City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
606,Nicoya,CR,86.92,broken clouds,10.1483,-85.452,Guayacan Real
607,Paredon,MX,89.22,overcast clouds,16.0333,-93.8667,Hotel Principal Paredon
610,Radcliff,US,83.23,scattered clouds,37.8404,-85.9491,Super 8 by Wyndham Radcliff Ft. Knox Area
614,Campos Altos,BR,82.26,clear sky,-19.6961,-46.1714,Hotel São José
618,Bahia Honda,CU,88.54,clear sky,22.9036,-83.1592,Casa Gualberto - Deysi
619,Hambantota,LK,79.43,overcast clouds,6.1241,81.1185,Bungalow 63
622,Wanning,CN,80.4,overcast clouds,18.8003,110.3967,Paradise Hotel
624,Bantogon,PH,79.81,light rain,6.5333,124.0333,Kalamansig Greenhome
629,Pathein,MM,77.95,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
634,Lata,PT,78.35,clear sky,40.1629,-8.3327,Casa Maquia
638,Bata,GQ,77.0,few clouds,1.8639,9.7658,Hotel Elik Melen
640,Norfolk,US,89.35,broken clouds,42.1668,-71.2495,Residence Inn by Marriott Boston Norwood/Canton
649,Bafq,IR,87.12,overcast clouds,31.6128,55.4107,Alamdar Hotel
650,Najran,SA,86.65,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
652,Puerto Leguizamo,CO,83.01,broken clouds,-0.1934,-74.7819,la casona de juancho
657,Nantucket,US,88.14,few clouds,41.2835,-70.0995,Jared Coffin House
659,Tamandare,BR,78.84,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
660,Ballinasloe,IE,76.89,broken clouds,53.3275,-8.2194,Gullane's Hotel
663,Marsh Harbour,BS,82.92,clear sky,26.5412,-77.0636,Abaco Beach Resort
664,Ixtapa,MX,89.22,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
665,Silvan,TR,82.69,clear sky,38.1419,41.0081,Silvan Grand Otel
667,Qui Nhon,VN,78.15,broken clouds,13.7667,109.2333,Hoang Yen Canary Hotel
669,Caravelas,BR,77.9,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
673,Domoni,KM,75.6,broken clouds,-12.2569,44.5319,Al Djadid
677,Boa Vista,BR,85.98,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
679,Bela,IN,85.39,overcast clouds,25.9333,81.9833,Raj Bhawan
680,Kinshasa,CD,79.18,haze,-4.3246,15.3215,Flat Hotel Alhdeef
682,Kapoeta,SS,75.9,overcast clouds,4.7717,33.5903,Eastgate Hotel
684,Harper,LR,76.57,overcast clouds,4.375,-7.7169,Screensaver
685,Mangrol,IN,83.57,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
690,Tabou,CI,77.0,overcast clouds,4.423,-7.3528,hotêl doufoulougou
